AverageOfP2O5,AverageOfCaO,AverageOfTotalSolids_TS,AverageOf +0.150mm ,AverageOf +1mm%,Average of Al2O3,Average of MgO,Average of Fe2O3,Average of SiO2,R.Average of P2O52,R.Average of Solids,R.Average of SO4,production ,input,recovery
27.60631579,49.95947368,59.72789474,52.4375,1.120833333,0.446315789,0.283684211,0.115263158,6.444736842,26.56666667,28.11166667,2.408333333,4057.721876,4413.883146,0.919308858
27.48722222,49.62333333,60.02777778,54.28333333,2.2775,0.473333333,0.386111111,0.154444444,6.321666667,26.95333333,27.19166667,2.615,4100.358981,4698.919733,0.87261737
28.16210526,49.41473684,59.90947368,55.44916667,2.295,0.529473684,0.274210526,0.182631579,6.441578947,26.45166667,28.61333333,3.466666667,4168.69336,4775.015419,0.873021968
28.46789474,49.39578947,58.12631579,54.31916667,1.476666667,0.449473684,0.273684211,0.247368421,6.442631579,26.7,28.31666667,2.693333333,4616.116372,5075.159819,0.909550938
27.1,49.08578947,59.34315789,56.60416667,1.541666667,0.455263158,0.294736842,0.212105263,7.382105263,26.425,31.32666667,3.285,4358.657819,4934.615244,0.883282202
27.01368421,48.66315789,60.79368421,53.43666667,1.648333333,0.893684211,0.361052632,0.504736842,6.683684211,26.75833333,28.81,2.603333333,4368.470897,4822.486041,0.905854545
28.106875,49.40125,56.32125,55.60909091,1.904545455,1.111875,0.4875,0.551875,4.816875,25.33333333,27.97666667,3.498333333,3028.598496,3366.011169,0.899758897
24.80333333,50.02533333,50.96733333,48.91333333,4.575555556,1.347333333,0.650666667,0.757333333,3.614666667,24.76833333,26.57166667,2.303333333,1680.099578,2193.314559,0.766009404
25.90882353,49.77941176,54.32,47.82454545,3.298181818,0.908823529,0.525294118,0.528235294,4.959411765,24.965,28.35666667,2.775,2540.845249,3059.054216,0.830598306
27.32473684,49.3,58.63052632,52.16666667,0.9025,0.452105263,0.307894737,0.305263158,7.232105263,26.295,28.44333333,2.425,4269.401764,4718.122674,0.904894183
27.36789474,49.43368421,60.97,51.92166667,0.866666667,0.408947368,0.190526316,0.197894737,7.655789474,27.67166667,28.94,2.491666667,4510.640828,4895.47248,0.921390294
25.51947368,48.98315789,58.96210526,53.225,1.084166667,0.418947368,0.29,0.171052632,8.412631579,26.88166667,25.47833333,2.99,4141.66561,4572.518033,0.905773488
26.553125,48.651875,60.008125,53.87166667,1.491666667,0.78875,0.31375,0.2025,8.09375,26.79666667,26.72166667,2.738333333,4099.975016,4563.5947,0.898409102
27.10315789,49.06684211,58.67526316,53.65583333,1.273333333,0.72,0.27,0.144210526,7.571578947,26.26166667,27.06333333,2.703333333,4300.059927,4873.846984,0.882272246
28.08421053,49.96105263,57.45105263,54.3575,2.028333333,0.426315789,0.334736842,0.124736842,6.468421053,25.076,28.452,2.974,3650.094884,4208.293492,0.867357491
27.15210526,50.33684211,52.95736842,52.34166667,2.2175,0.438421053,0.683157895,0.2,5.365789474,23.815,26.805,3.916666667,2512.087147,3524.044336,0.712842095
27.00764706,50.23941176,54.13058824,53.25454545,1.027272727,0.371176471,0.475294118,0.154117647,5.928235294,23.29166667,23.64,3.315,2107.378881,2938.889057,0.717066497
27.26894737,49.74736842,56.55052632,54.60083333,0.815,0.275789474,0.185789474,0.072631579,7.209473684,24.545,25.48666667,3.251666667,3799.887333,4238.895019,0.896433461
25.70736842,49.05105263,57.94368421,55.01333333,0.464166667,0.254210526,0.136315789,0.064736842,8.713157895,25.82166667,26.54333333,2.933333333,3820.037829,4290.429657,0.890362536
26.61388889,49.36833333,52.85555556,56.46583333,1.018333333,0.261666667,0.137777778,0.07,8.102777778,26.57333333,26.13166667,3.161666667,3853.016604,4201.192527,0.917124502
27.07266667,50.43266667,50.31533333,48.274,3.111,0.378,0.467333333,0.162666667,5.542666667,26.6875,27.43,2.425,2324.870308,2710.195354,0.857823885
26.89916667,51.51,54.27166667,53.4625,6.87875,0.539166667,0.551666667,0.278333333,3.025,26.2975,26.51,1.89,1657.492984,2020.461009,0.820353858
25.46083333,50.90916667,48.325,49.56375,5.1075,0.905833333,0.350833333,0.439166667,3.4775,22.45,24.6725,2.5275,1150.140403,1432.860776,0.802688176
25.575,51.7275,49.225,52.424,6.024,0.545,0.21375,0.18625,3.43625,21.4575,26.1875,3.1575,833.1685455,1034.91961,0.805056294
25.75454545,52.15818182,48.96818182,48.72,6.833333333,0.391818182,0.181818182,0.148181818,2.976363636,21.76,24.87333333,2.643333333,830.1481078,1035.47536,0.801707254
22.96571429,52.27428571,51.07714286,42.115,3.535,0.37,0.164285714,0.117142857,3.19,22.065,24.235,2.35,596.8850885,831.11769,0.718171561
21.65153846,51.32,58.63461538,56.20625,24.77625,0.323076923,0.15,0.078461538,5.076923077,16.745,24.2475,2.7425,533.3220933,666.783892,0.799842497
24.83923077,49.76230769,49.13307692,43.6825,1.5575,0.307692308,0.15,0.085384615,7.44,18.75,28.33,2.246,1819.275897,2255.408432,0.806628135
25.45631579,49.47210526,56.67684211,43.57583333,1.258333333,0.675789474,0.156842105,0.105789474,7.169473684,23.53833333,28.095,3.116666667,3497.815178,3718.043994,0.940767561
25.50388889,48.89833333,59.62055556,52.30333333,2.3225,0.853333333,0.155555556,0.15,7.873333333,26.75166667,27.80666667,3.193333333,3491.713301,3882.156103,0.8994263
26.27111111,49.34611111,62.40888889,55.27,2.383636364,0.442777778,0.148333333,0.091666667,8.03,25.49166667,26.05166667,2.81,4035.29534,4395.134256,0.91812789
26.91684211,48.71684211,61.33473684,55.73083333,1.608333333,0.797894737,0.168947368,0.177894737,8.022631579,26.40833333,28.63333333,3.045,4013.039322,4561.531146,0.87975708
25.13947368,47.77947368,57.58,54.12666667,4.409166667,1.087368421,0.213684211,0.237368421,9.421578947,25.80166667,25.18166667,2.4,3400.307553,3792.606598,0.896562157
25.40833333,47.74888889,59.51888889,57.65916667,2.421666667,1.166666667,0.172222222,0.224444444,9.123333333,26.42166667,25.27333333,2.95,3858.132088,4236.892952,0.910604099
25.69947368,48.14631579,57.16842105,56.12666667,1.646666667,0.842631579,0.151052632,0.133157895,9.051052632,26.42833333,27.175,2.71,3689.333805,3990.276718,0.924580941
25.27272727,48.76727273,57.37727273,59.32375,9.5675,0.854545455,0.173636364,0.2,7.969090909,25.49666667,25.98666667,3.111666667,1070.792187,1253.248368,0.854413391
25.245625,49.055625,57.2875,51.012,3.6,0.934375,0.155,0.15125,7.839375,27.15333333,29.14666667,2.67,3103.874225,3444.307819,0.90116052
27.36611111,50.19611111,60.33444444,45.38,1.248181818,0.598333333,0.156666667,0.099444444,5.772222222,25.96,29.21833333,2.035,3595.684911,4041.339339,0.889726056
27.57466667,50.23933333,58.80666667,54.17444444,1.9,0.629333333,0.167333333,0.096,5.418666667,25.79833333,31.24166667,2.721666667,3569.517717,3986.649663,0.895367795
25.63944444,50.29888889,56.28111111,51.93,0.8425,0.542222222,0.166666667,0.106666667,5.799444444,24.96666667,28.00666667,2.571666667,3335.484784,3748.945889,0.889712704
